SquareFeet,PropertyType,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Floors,Garage,Price
813,Apartment,1,1.0,Suburban,2014,3,1,8354000.0
196547,Agricultural Land,0,0.0,Rural,1950,0,0,21620000.0
2349,Penthouse,4,2.5,Rural,1989,2,1,20880000.0
160850,Agricultural Land,0,0.0,Suburban,1950,0,0,19672000.0
201617,Agricultural Land,0,0.0,Suburban,1950,0,0,24165000.0
2104,Independent House,3,2.5,Suburban,1987,2,1,18218000.0
159492,Agricultural Land,0,0.0,Rural,1950,0,0,17734000.0
1373,Apartment,1,2.5,Downtown,1991,1,0,11728000.0
991,Apartment,2,1.5,Suburban,1986,3,0,9601000.0
1236,Apartment,3,2.0,Suburban,2005,3,1,11138000.0
906,Apartment,1,3.0,Downtown,2020,1,0,9468000.0
2025,Independent House,2,2.5,Downtown,2004,1,1,18624000.0
1119,Apartment,1,2.5,Suburban,2003,2,1,9700000.0
3285,Penthouse,3,2.0,Rural,1971,1,1,24983000.0
2674,Independent House,3,2.0,Suburban,1976,3,1,21264000.0
1235,Apartment,2,2.5,Suburban,1996,1,1,10687000.0
1739,Independent House,2,1.0,Suburban,1987,2,1,15406000.0
1068,Apartment,1,2.5,Suburban,1988,1,1,9220000.0
1711,Penthouse,3,4.0,Rural,1964,3,1,16624000.0
1735,Apartment,1,2.5,Suburban,2015,1,0,12568000.0
47555,Agricultural Land,0,0.0,Downtown,1950,0,0,9530000.0
1976,Penthouse,3,1.5,Downtown,2010,1,1,20463000.0
1473,Apartment,1,1.5,Rural,2009,1,1,9566000.0
1059,Apartment,3,2.5,Rural,1957,2,0,7105000.0
1752,Penthouse,3,3.0,Downtown,1993,2,1,19827000.0
3349,Villa,4,2.0,Downtown,1992,2,1,31906000.0
2551,Villa,4,2.0,Suburban,1955,2,1,25592000.0
2961,Penthouse,3,1.5,Suburban,1976,3,1,25490000.0
1580,Apartment,1,2.5,Suburban,1994,3,1,12232000.0
1853,Independent House,4,2.5,Rural,1972,2,1,14758000.0
835,Apartment,1,4.0,Rural,1962,2,1,6186000.0
81266,Agricultural Land,0,0.0,Rural,1950,0,0,8386000.0
4526,Villa,3,1.5,Suburban,2017,2,1,38471000.0
1643,Apartment,1,2.5,Suburban,2013,1,0,11754000.0
815,Apartment,2,2.0,Suburban,1974,3,0,8456000.0
1454,Apartment,3,2.0,Suburban,2001,1,1,12565000.0
734,Apartment,2,3.0,Downtown,1997,2,1,10286000.0
4752,Villa,5,1.5,Downtown,2010,3,0,41809000.0
2952,Villa,4,1.5,Suburban,1966,2,1,27918000.0
160237,Agricultural Land,0,0.0,Suburban,1950,0,0,19041000.0
2317,Independent House,2,2.5,Suburban,1989,1,1,18711000.0
685,Apartment,2,2.0,Downtown,2024,3,0,9202000.0
4403,Villa,4,1.0,Suburban,2018,1,1,37664000.0
3365,Penthouse,3,2.0,Downtown,1975,3,0,28650000.0
2469,Independent House,4,2.0,Suburban,2005,2,1,20850000.0
1877,Penthouse,4,3.5,Suburban,1989,3,1,20358000.0
2680,Independent House,4,1.5,Rural,2017,1,1,19344000.0
2074,Independent House,4,3.0,Suburban,1957,1,1,18198000.0
1241,Independent House,4,1.0,Suburban,2022,1,1,13657000.0
1519,Apartment,3,1.5,Suburban,1994,1,1,12203000.0
865,Apartment,3,1.5,Suburban,1966,2,0,8701000.0
1743,Apartment,2,3.0,Downtown,1990,1,0,14106000.0
4559,Villa,5,1.5,Suburban,1958,2,1,38608000.0
669,Apartment,1,2.5,Suburban,2019,3,0,8229000.0
3104,Independent House,3,2.0,Suburban,1973,1,1,23430000.0
58184,Agricultural Land,0,0.0,Suburban,1950,0,0,8636000.0
1400,Apartment,2,4.0,Rural,2022,3,1,10085000.0
2041,Independent House,3,3.0,Downtown,1960,3,1,18605000.0
3475,Penthouse,3,2.5,Suburban,1984,2,1,29387000.0
1331,Apartment,1,3.0,Rural,1978,1,1,8433000.0
1424,Apartment,3,2.5,Rural,1957,2,1,9670000.0
1355,Apartment,2,3.0,Downtown,1966,1,1,12508000.0
951,Apartment,2,1.5,Rural,2020,3,1,8170000.0
185530,Agricultural Land,0,0.0,Downtown,1950,0,0,24881000.0
2821,Penthouse,4,1.0,Suburban,1961,2,1,24551000.0
4130,Villa,4,2.5,Suburban,1999,1,1,36172000.0
62103,Agricultural Land,0,0.0,Suburban,1950,0,0,8943000.0
2516,Penthouse,3,2.0,Suburban,1973,3,1,23174000.0
1143,Apartment,1,2.0,Downtown,1986,2,1,10754000.0
213865,Agricultural Land,0,0.0,Downtown,1950,0,0,27029000.0
1024,Independent House,2,2.0,Suburban,1960,2,1,11231000.0
2342,Penthouse,4,2.0,Downtown,2008,2,0,23484000.0
174296,Agricultural Land,0,0.0,Rural,1950,0,0,19370000.0
656,Apartment,2,2.5,Suburban,2004,2,0,8334000.0
779,Apartment,1,1.0,Downtown,1976,3,1,9371000.0
831,Apartment,2,4.0,Suburban,2016,3,1,9542000.0
2917,Independent House,3,3.5,Suburban,2009,3,1,23528000.0
1842,Penthouse,3,3.5,Downtown,1951,3,1,19590000.0
33378,Agricultural Land,0,0.0,Suburban,1950,0,0,6039000.0
1175,Apartment,2,2.0,Rural,2017,1,1,8295000.0
1454,Independent House,2,2.0,Suburban,1967,3,1,14157000.0
2255,Independent House,3,3.5,Suburban,1969,2,1,19064000.0
888,Apartment,1,3.5,Suburban,2012,2,1,9539000.0
857,Apartment,2,2.5,Downtown,2021,2,0,10086000.0
1129,Apartment,1,2.0,Downtown,1951,2,1,10728000.0
29738,Agricultural Land,0,0.0,Rural,1950,0,0,3581000.0
828,Apartment,2,2.0,Rural,1991,1,1,6503000.0
1595,Independent House,3,2.5,Downtown,1977,2,1,16439000.0
2234,Villa,4,1.5,Suburban,1978,2,1,23479000.0
1881,Independent House,2,2.5,Rural,2018,2,1,14937000.0
81097,Agricultural Land,0,0.0,Downtown,1950,0,0,13106000.0
145410,Agricultural Land,0,0.0,Downtown,1950,0,0,20421000.0
687,Apartment,3,3.0,Rural,1977,3,1,6281000.0
2565,Independent House,3,2.5,Suburban,2009,3,1,21212000.0
908,Apartment,2,2.0,Downtown,1954,1,1,10061000.0
1505,Apartment,1,2.0,Suburban,1964,1,1,10910000.0
942,Apartment,2,4.0,Downtown,2022,1,1,11217000.0
2235,Villa,4,2.5,Suburban,1981,2,1,23228000.0
1176,Independent House,3,2.5,Suburban,2001,1,1,12581000.0
738,Apartment,2,2.5,Suburban,1986,3,1,8459000.0
793,Apartment,3,2.5,Suburban,1964,3,1,8827000.0
211542,Agricultural Land,0,0.0,Suburban,1950,0,0,25282000.0
1787,Apartment,3,2.5,Downtown,1990,3,1,15790000.0
1784,Apartment,2,2.0,Downtown,1953,2,1,13824000.0
1942,Independent House,3,2.0,Rural,2002,2,0,15080000.0
68218,Agricultural Land,0,0.0,Suburban,1950,0,0,9289000.0
1665,Apartment,2,2.0,Downtown,1976,1,1,13725000.0
4762,Villa,5,1.0,Suburban,1970,1,0,39348000.0
1709,Penthouse,3,1.5,Rural,2009,1,1,15977000.0
1340,Apartment,1,1.5,Suburban,2013,1,1,10443000.0
2661,Villa,3,3.0,Suburban,2020,2,1,27184000.0
1953,Independent House,3,1.5,Downtown,1996,3,1,18656000.0
3102,Villa,4,1.0,Downtown,2003,2,0,30434000.0
3074,Villa,5,1.0,Rural,1980,1,1,27083000.0
2743,Independent House,3,2.5,Suburban,1966,2,1,21816000.0
1432,Apartment,2,1.0,Suburban,1999,3,0,11265000.0
1639,Penthouse,3,2.0,Rural,1956,2,1,16046000.0
1391,Apartment,3,1.0,Rural,1977,3,1,9882000.0
1145,Apartment,3,3.0,Downtown,1959,1,0,10661000.0
1616,Apartment,3,3.5,Downtown,1976,2,1,14385000.0
2927,Independent House,2,3.5,Suburban,1962,1,1,22498000.0
3353,Villa,5,2.0,Downtown,2015,1,1,32702000.0
656,Apartment,3,2.5,Suburban,2009,3,0,8555000.0
3159,Independent House,3,2.0,Rural,1992,3,0,21385000.0
604,Apartment,2,2.0,Suburban,2018,1,0,7116000.0
3237,Villa,4,2.0,Downtown,2012,3,1,32009000.0
1636,Apartment,1,1.0,Downtown,2019,3,1,13274000.0
3162,Villa,5,2.5,Suburban,2014,1,0,30213000.0
2820,Independent House,4,1.5,Rural,2016,1,1,20572000.0
54778,Agricultural Land,0,0.0,Suburban,1950,0,0,7751000.0
1215,Apartment,1,2.0,Downtown,2003,3,1,11316000.0
1490,Apartment,3,2.0,Downtown,1985,1,0,12348000.0
1297,Apartment,2,2.0,Rural,2020,1,0,9129000.0
116338,Agricultural Land,0,0.0,Suburban,1950,0,0,14275000.0
29532,Agricultural Land,0,0.0,Rural,1950,0,0,3537000.0
1570,Apartment,1,3.0,Suburban,1964,3,0,12096000.0
2931,Villa,5,2.5,Suburban,2024,2,0,28721000.0
2167,Penthouse,3,2.5,Downtown,1967,2,1,21828000.0
2281,Independent House,2,2.0,Suburban,1953,1,1,18134000.0
1996,Independent House,4,1.0,Suburban,1960,3,1,17520000.0
881,Apartment,2,2.0,Rural,1955,1,1,6139000.0
1585,Apartment,3,3.5,Downtown,2000,3,1,14444000.0
129076,Agricultural Land,0,0.0,Downtown,1950,0,0,18526000.0
35081,Agricultural Land,0,0.0,Suburban,1950,0,0,5738000.0
2735,Villa,5,4.0,Downtown,2007,1,1,29100000.0
853,Apartment,2,2.5,Suburban,2009,1,1,9510000.0
928,Apartment,3,1.5,Downtown,1967,3,1,10787000.0
4391,Villa,5,1.0,Downtown,2016,1,1,39661000.0
42290,Agricultural Land,0,0.0,Suburban,1950,0,0,6550000.0
121063,Agricultural Land,0,0.0,Suburban,1950,0,0,14801000.0
2982,Penthouse,3,2.0,Suburban,1966,2,1,26377000.0
4692,Villa,3,3.0,Downtown,1983,2,1,40709000.0
1792,Apartment,1,2.5,Rural,1979,3,1,11217000.0
965,Apartment,1,3.0,Downtown,1968,1,1,10183000.0
73464,Agricultural Land,0,0.0,Downtown,1950,0,0,12207000.0
3185,Villa,5,2.5,Suburban,1958,2,0,30144000.0
1359,Apartment,2,1.0,Downtown,1989,3,0,12044000.0
1238,Apartment,1,1.0,Suburban,1993,3,1,10179000.0
3598,Villa,4,1.0,Rural,2008,3,0,30459000.0
1663,Apartment,3,2.0,Suburban,1974,2,1,12521000.0
1523,Apartment,1,1.5,Suburban,2020,2,1,11317000.0
1415,Independent House,4,2.5,Suburban,2002,2,1,15776000.0
2054,Villa,4,2.5,Downtown,1997,2,1,24577000.0
2966,Villa,3,1.5,Suburban,2020,1,1,28375000.0
1309,Apartment,1,1.5,Suburban,2002,2,1,11100000.0
4424,Villa,3,1.0,Rural,1998,3,1,36261000.0
1499,Apartment,1,2.5,Downtown,1992,1,0,12553000.0
610,Apartment,2,2.0,Suburban,1968,2,1,7241000.0
1825,Villa,3,1.5,Rural,2015,1,1,19190000.0
4804,Villa,5,3.0,Suburban,1983,3,1,41595000.0
1920,Penthouse,3,2.0,Rural,2022,2,0,17871000.0
3044,Villa,4,2.0,Suburban,2003,1,1,29021000.0
2876,Independent House,2,2.5,Suburban,1950,2,1,21757000.0
1095,Apartment,2,3.0,Rural,2004,1,0,7936000.0
2260,Independent House,3,2.5,Downtown,1964,1,1,19659000.0
836,Apartment,3,2.0,Downtown,1964,3,1,10242000.0
1608,Apartment,1,2.0,Suburban,1972,3,1,12408000.0
214591,Agricultural Land,0,0.0,Suburban,1950,0,0,26063000.0
2959,Independent House,2,2.5,Rural,2015,2,0,20729000.0
51785,Agricultural Land,0,0.0,Rural,1950,0,0,5847000.0
4482,Villa,3,2.0,Rural,1995,2,0,36179000.0
2667,Penthouse,3,2.5,Downtown,1958,1,0,24211000.0
1989,Independent House,4,3.0,Suburban,2015,3,0,18156000.0
1188,Independent House,3,3.5,Suburban,2015,3,1,14322000.0
1254,Independent House,3,1.5,Rural,1967,1,0,11088000.0
667,Apartment,2,1.5,Suburban,1966,3,1,8011000.0
2415,Villa,5,1.5,Downtown,2021,3,0,26750000.0
935,Apartment,3,2.5,Rural,1983,1,0,6402000.0
1270,Apartment,3,2.0,Suburban,2018,2,0,11397000.0
4668,Villa,4,1.5,Suburban,2013,2,0,39730000.0
1473,Apartment,3,1.0,Suburban,1993,2,0,11752000.0
15911,Agricultural Land,0,0.0,Suburban,1950,0,0,3320000.0
101928,Agricultural Land,0,0.0,Suburban,1950,0,0,13113000.0
179464,Agricultural Land,0,0.0,Suburban,1950,0,0,22301000.0
2007,Independent House,3,1.5,Suburban,1978,1,1,16792000.0
952,Apartment,2,1.0,Downtown,2011,2,1,10625000.0
26841,Agricultural Land,0,0.0,Suburban,1950,0,0,4756000.0
1283,Independent House,2,1.5,Suburban,1965,1,0,12464000.0
182164,Agricultural Land,0,0.0,Suburban,1950,0,0,21978000.0
36666,Agricultural Land,0,0.0,Suburban,1950,0,0,6395000.0
204291,Agricultural Land,0,0.0,Suburban,1950,0,0,24484000.0
1214,Apartment,1,2.5,Suburban,2001,1,1,10513000.0
2388,Independent House,2,1.0,Suburban,1951,3,0,19129000.0
150184,Agricultural Land,0,0.0,Suburban,1950,0,0,18816000.0
1189,Apartment,2,1.0,Suburban,2010,3,0,10450000.0
1698,Apartment,1,3.0,Suburban,1953,2,1,12634000.0
2065,Independent House,2,3.0,Suburban,2001,1,1,17888000.0
98336,Agricultural Land,0,0.0,Downtown,1950,0,0,14935000.0
3004,Villa,3,1.5,Rural,1990,2,1,26177000.0
1544,Independent House,4,1.0,Rural,2001,2,0,13161000.0
670,Apartment,2,2.5,Suburban,1980,3,1,7913000.0
4976,Villa,3,2.0,Suburban,1975,2,1,40977000.0
168730,Agricultural Land,0,0.0,Rural,1950,0,0,18703000.0
1367,Apartment,3,1.0,Downtown,1976,2,1,11856000.0
3354,Independent House,4,1.5,Suburban,2000,3,1,25326000.0
51533,Agricultural Land,0,0.0,Downtown,1950,0,0,9748000.0
4224,Villa,5,1.0,Suburban,1997,2,1,37759000.0
2454,Villa,3,2.0,Rural,1960,2,1,22846000.0
4525,Villa,5,3.0,Suburban,1957,1,1,38670000.0
3446,Independent House,3,2.5,Suburban,1961,2,1,25030000.0
820,Apartment,3,2.0,Rural,1994,3,1,6483000.0
3118,Penthouse,3,2.0,Suburban,1983,3,0,26115000.0
1681,Penthouse,4,2.5,Suburban,2021,1,1,18265000.0
67834,Agricultural Land,0,0.0,Suburban,1950,0,0,9169000.0
72377,Agricultural Land,0,0.0,Suburban,1950,0,0,9958000.0
3051,Independent House,4,2.0,Rural,1996,3,1,21876000.0
1847,Independent House,4,1.5,Rural,1970,3,1,14606000.0
2303,Penthouse,4,2.5,Suburban,1990,3,1,22508000.0
2014,Villa,3,3.0,Suburban,2024,2,1,22349000.0
4819,Villa,4,2.0,Downtown,1971,1,1,41609000.0
3133,Penthouse,4,3.0,Rural,1970,1,1,25217000.0
176367,Agricultural Land,0,0.0,Suburban,1950,0,0,21548000.0
1562,Apartment,1,2.0,Suburban,1977,1,1,11800000.0
1572,Independent House,4,2.0,Downtown,2016,1,0,16083000.0
1257,Apartment,1,1.0,Rural,2020,3,1,8686000.0
2533,Independent House,2,2.5,Downtown,1963,2,1,20827000.0
1686,Apartment,2,3.0,Downtown,2022,3,1,14461000.0
2656,Independent House,2,2.5,Suburban,2001,3,1,20821000.0
1225,Independent House,4,1.5,Suburban,1992,3,0,14160000.0
704,Apartment,2,1.0,Suburban,2020,3,0,8343000.0
2997,Independent House,4,2.0,Suburban,2025,1,1,24070000.0
1371,Apartment,2,2.0,Suburban,1968,1,1,10903000.0
1028,Apartment,3,2.0,Downtown,1976,2,1,10748000.0
1933,Penthouse,4,4.0,Downtown,1967,3,0,21504000.0
2230,Independent House,2,2.5,Rural,1962,1,1,16737000.0
1651,Apartment,1,2.0,Downtown,1950,2,1,13132000.0
1865,Independent House,2,1.0,Downtown,1983,3,1,17470000.0
2245,Penthouse,4,1.0,Suburban,1962,3,1,21545000.0
1790,Apartment,3,2.5,Suburban,2000,1,0,13702000.0
4711,Villa,4,3.0,Suburban,1950,3,1,39967000.0
967,Apartment,2,2.5,Rural,1977,3,1,7456000.0
850,Apartment,2,2.0,Rural,1981,1,1,6249000.0
1855,Independent House,2,1.0,Suburban,2021,2,1,16611000.0
2193,Independent House,4,4.0,Suburban,2004,2,1,19229000.0
4961,Villa,4,4.0,Suburban,1975,1,1,41631000.0
2360,Villa,5,2.0,Suburban,1963,1,1,24507000.0
79581,Agricultural Land,0,0.0,Downtown,1950,0,0,12736000.0
1918,Independent House,3,1.0,Suburban,2017,2,0,16846000.0
1773,Apartment,1,2.0,Downtown,2012,2,1,14590000.0
2655,Penthouse,3,3.0,Rural,1963,1,0,21821000.0
1032,Apartment,2,2.5,Suburban,1976,1,0,9020000.0
3106,Independent House,3,2.5,Downtown,1990,1,0,24301000.0
1568,Apartment,2,1.0,Downtown,1952,3,0,12522000.0
1435,Apartment,2,1.0,Rural,2008,1,0,9222000.0
114225,Agricultural Land,0,0.0,Suburban,1950,0,0,14378000.0
2397,Penthouse,3,1.0,Suburban,1972,3,1,21958000.0
2271,Villa,4,3.5,Suburban,1967,2,0,24022000.0
1246,Independent House,3,2.0,Rural,2023,2,1,11935000.0
981,Apartment,1,2.5,Suburban,2025,1,1,9444000.0
1590,Apartment,2,1.0,Downtown,1990,1,0,12799000.0
1526,Apartment,3,3.5,Downtown,1957,2,1,13388000.0
2191,Independent House,4,3.0,Suburban,1981,2,1,19079000.0
4407,Villa,4,1.5,Rural,1990,2,1,35186000.0
2874,Villa,3,3.0,Downtown,1994,2,1,29674000.0
1288,Apartment,1,1.5,Suburban,1958,1,1,9852000.0
158682,Agricultural Land,0,0.0,Suburban,1950,0,0,20086000.0
4951,Villa,3,1.5,Rural,1997,3,1,39757000.0
2484,Independent House,3,1.5,Suburban,1973,2,1,19618000.0
4758,Villa,4,3.5,Suburban,1993,2,1,40609000.0
1959,Independent House,4,3.5,Downtown,2007,3,1,19303000.0
1077,Apartment,1,1.5,Downtown,2015,1,1,10474000.0
1706,Independent House,3,2.5,Suburban,1967,3,0,15193000.0
2737,Penthouse,4,2.5,Suburban,1978,1,1,24306000.0
1453,Apartment,2,3.0,Suburban,2024,1,0,11502000.0
1737,Apartment,2,1.5,Rural,1951,1,1,10489000.0
1616,Apartment,1,2.0,Suburban,2017,1,1,11725000.0
1353,Apartment,1,2.5,Suburban,1988,1,1,11393000.0
109191,Agricultural Land,0,0.0,Downtown,1950,0,0,16214000.0
4664,Villa,5,1.0,Downtown,2022,2,1,41784000.0
1587,Independent House,2,2.0,Suburban,1990,1,1,14419000.0
1307,Apartment,2,2.5,Suburban,2020,2,1,11672000.0
1206,Independent House,4,1.5,Suburban,2024,1,1,13155000.0
3198,Independent House,2,3.5,Rural,1971,2,1,21474000.0
1267,Apartment,1,1.0,Suburban,1998,3,1,10786000.0
1164,Independent House,2,3.5,Suburban,1977,3,0,12664000.0
2998,Independent House,2,1.5,Rural,1965,2,1,20185000.0
4857,Villa,4,1.0,Suburban,2017,1,1,40524000.0
3884,Villa,3,1.5,Downtown,2011,2,0,35042000.0
932,Apartment,2,2.5,Downtown,1985,2,1,9940000.0
1402,Independent House,3,2.5,Suburban,1971,1,0,13481000.0
2213,Villa,4,1.5,Rural,1960,3,1,21556000.0
1044,Independent House,4,1.5,Downtown,1991,2,0,13433000.0
48998,Agricultural Land,0,0.0,Suburban,1950,0,0,7417000.0
1861,Villa,4,2.5,Suburban,2004,3,1,21354000.0
1019,Apartment,1,2.0,Rural,2022,3,0,7564000.0
1467,Apartment,3,2.5,Suburban,1984,3,1,12229000.0
3291,Villa,3,1.0,Rural,2006,2,1,28128000.0
1419,Apartment,2,2.5,Suburban,1983,2,1,11162000.0
1018,Independent House,2,2.5,Downtown,2022,1,1,13487000.0
107323,Agricultural Land,0,0.0,Downtown,1950,0,0,15468000.0
3475,Independent House,4,4.0,Suburban,2019,1,1,26270000.0
2140,Independent House,4,2.5,Suburban,1953,2,1,18375000.0
2379,Villa,3,1.5,Rural,1995,1,0,21774000.0
1545,Independent House,2,1.0,Downtown,1960,3,0,15281000.0
2729,Independent House,2,2.5,Suburban,2010,3,0,21483000.0
80434,Agricultural Land,0,0.0,Downtown,1950,0,0,12944000.0
1777,Independent House,4,2.0,Suburban,1984,2,1,16074000.0
104208,Agricultural Land,0,0.0,Rural,1950,0,0,11889000.0
77550,Agricultural Land,0,0.0,Downtown,1950,0,0,12779000.0
830,Apartment,2,3.0,Suburban,2018,3,1,9055000.0
1052,Apartment,1,2.5,Downtown,2006,2,1,10267000.0
993,Apartment,2,2.0,Suburban,1960,2,1,9186000.0
1751,Apartment,3,2.0,Downtown,1961,2,1,14096000.0
1290,Apartment,1,2.0,Suburban,1992,3,0,10102000.0
4239,Villa,3,1.5,Suburban,1968,2,0,36248000.0
1203,Apartment,3,1.0,Suburban,2017,2,1,10316000.0
1480,Apartment,1,2.0,Downtown,2008,1,0,12275000.0
3266,Penthouse,4,1.5,Suburban,1951,3,1,27800000.0
1701,Apartment,3,1.5,Suburban,1957,2,0,12520000.0
1584,Penthouse,3,1.0,Suburban,1971,1,1,16465000.0
1653,Apartment,1,1.5,Downtown,1970,2,1,13495000.0
648,Apartment,3,1.0,Rural,1978,3,1,6372000.0
2968,Villa,3,2.5,Suburban,2024,1,1,28962000.0
1868,Villa,3,2.0,Downtown,2024,1,1,22320000.0
12778,Agricultural Land,0,0.0,Downtown,1950,0,0,5638000.0
4326,Villa,5,2.0,Rural,1986,2,0,35878000.0
2319,Penthouse,3,2.5,Downtown,1978,2,0,22958000.0
1794,Apartment,2,4.0,Rural,1986,3,0,11452000.0
746,Apartment,2,1.0,Suburban,1970,3,1,7907000.0
3007,Penthouse,3,2.0,Suburban,1961,2,1,25267000.0
2829,Penthouse,4,1.5,Suburban,1997,1,0,25158000.0
10910,Agricultural Land,0,0.0,Downtown,1950,0,0,5470000.0
2869,Independent House,3,2.0,Suburban,1996,3,1,23104000.0
2015,Independent House,2,3.5,Suburban,1964,3,1,16978000.0
2108,Penthouse,4,2.5,Rural,2016,1,1,18974000.0
1045,Apartment,3,2.5,Suburban,1962,2,1,9819000.0
99213,Agricultural Land,0,0.0,Suburban,1950,0,0,13592000.0
120687,Agricultural Land,0,0.0,Downtown,1950,0,0,17599000.0
2401,Independent House,2,2.0,Suburban,2008,3,1,19574000.0
3143,Penthouse,3,2.5,Downtown,2022,1,1,28402000.0
2789,Penthouse,3,1.0,Downtown,1962,3,1,25375000.0
694,Apartment,1,2.0,Downtown,2021,1,1,9317000.0
194261,Agricultural Land,0,0.0,Suburban,1950,0,0,23627000.0
1896,Independent House,2,2.0,Suburban,1968,3,0,16727000.0
2594,Penthouse,3,1.5,Suburban,2006,2,0,22868000.0
818,Apartment,3,1.5,Suburban,1981,1,1,7982000.0
137315,Agricultural Land,0,0.0,Rural,1950,0,0,15235000.0
1126,Independent House,4,3.0,Suburban,1970,3,0,13228000.0
679,Apartment,2,1.0,Suburban,1963,3,1,7873000.0
209866,Agricultural Land,0,0.0,Suburban,1950,0,0,25157000.0
1582,Apartment,1,1.0,Rural,1973,1,1,9514000.0
1515,Apartment,2,2.0,Suburban,1998,1,1,12302000.0
123146,Agricultural Land,0,0.0,Suburban,1950,0,0,15310000.0
194892,Agricultural Land,0,0.0,Downtown,1950,0,0,26178000.0
2812,Independent House,3,1.5,Rural,1981,2,0,19912000.0
3353,Villa,5,2.5,Downtown,2024,1,1,32892000.0
2966,Independent House,3,2.5,Downtown,1960,3,1,23723000.0
1680,Apartment,3,2.5,Suburban,2009,2,0,13374000.0
618,Apartment,2,1.5,Rural,2017,1,1,6243000.0
3207,Villa,3,2.5,Suburban,2010,3,0,29887000.0
3388,Penthouse,4,3.0,Suburban,1954,1,1,28902000.0
2716,Penthouse,3,1.5,Rural,1985,3,0,21753000.0
1736,Penthouse,3,1.5,Suburban,2013,3,1,18731000.0
876,Apartment,3,3.0,Suburban,1981,2,1,9038000.0
1744,Independent House,3,1.0,Suburban,2020,2,1,16361000.0
1151,Apartment,2,2.0,Rural,2023,1,1,8441000.0
2176,Independent House,4,1.0,Suburban,2015,2,1,18913000.0
1638,Independent House,2,1.0,Rural,1959,1,0,11879000.0
83514,Agricultural Land,0,0.0,Downtown,1950,0,0,13358000.0
3102,Independent House,2,1.0,Suburban,1970,2,1,22731000.0
1283,Apartment,2,2.0,Downtown,1989,2,0,11648000.0
708,Apartment,2,2.5,Suburban,1991,1,1,8003000.0
3389,Penthouse,3,1.5,Rural,2021,2,1,26162000.0
3007,Villa,4,3.0,Suburban,1995,2,1,28590000.0
